,unique_id,transaction_id,unformatted_date,product_id,product_name,category_id,category_name,parent_id,parent_name,product_count,site_id,site_name,address,city,zip,latitude,longitude,site_status,revenue,gross_profit,costs,units
1675,1280100,20170601|497|4|4|1623549,2017-08-25,5364,32OZ FTN REFILL,154,Cold Bev-refills (314),233,Cold Dispensed Beverage,8,257,497 Patton,1000 State Route 51,Patton,63662,37.5003,-90.0134,ACTIVE,1.0,0.457291,0.542709,1.0
1534,1895618,20170601|2926|2|2|2386599,2017-08-25,633,CAMEL CRUSH BX,161,Cig-premium (331),8,Cigarettes,435,114,2926 Commerce City,8096 Brighton Rd,Commerce City,80022,39.8437,-104.921,ACTIVE,6.17,1.515,4.655,1.0
2278,1216027,20170602|470|1|1|3638601,2017-08-26,3006,MARLB SPCL SLCT GLD 100 BX,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,227,470 Columbia,2300 Bernadette Dr Ste 200,Columbia,65203,38.9632,-92.3734,CLOSED,4.32,0.11962,4.20038,1.0
1595,2350657,20170602|961|1|100|2103970,2017-08-26,18998,G91E10P,1,Fuel Premuim,78,Fuel,68,467,961 Burlington,211 S Main St,Burlington,82411,44.4447,-108.431,ACTIVE,32.26,3.5727,28.6873,11.909
138,1177213,20170603|442|2|1|3228160,2017-08-27,2919,PALLM MEN WHT 100 BX,162,Cig-discount (332),8,Cigarettes,158,205,442 Mindenmines,604 Main St,Mindenmines,64769,37.4744,-94.5887,ACTIVE,3.78,0.77357,3.00643,1.0
1636,1268521,20170604|497|2|1|1632905,2017-08-28,215,DT PEPSI 20OZ,250,Pk Bev-csd/pop (71),243,Pop (587),448,257,497 Patton,1000 State Route 51,Patton,63662,37.5003,-90.0134,ACTIVE,1.5,0.42163,1.07837,1.0
1521,267084,20170604|961|2|1|2106555,2017-08-28,2986,MARLB BX,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,467,961 Burlington,211 S Main St,Burlington,82411,44.4447,-108.431,ACTIVE,5.92,0.87983,5.04017,1.0
1445,2220479,20170604|397|2|2|3846554,2017-08-28,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,166,397 Pea Ridge,468 N Curtis Ave,Pea Ridge,72751,36.4456,-94.1154,ACTIVE,9.5,1.3908,8.1092,4.636
1451,1009602,20170604|383|2|2|4956069,2017-08-28,536,MT DEW WHT OUT 20OZ,250,Pk Bev-csd/pop (71),243,Pop (587),448,153,383 Rogers,4600 W Walnut St,Rogers,72756,36.3337,-94.1811,ACTIVE,1.5,0.38429,1.11571,1.0
924,130313,20170604|570|1|2|1716090,2017-08-28,19002,GE85,1,Fuel Premuim,78,Fuel,68,304,570 Hueytown,1007 Red Farmer Drive,Hueytown,35023,41.9966,-91.8623,ACTIVE,26.87,4.4811,22.3889,14.937
629,649127,20170604|95|3|1|2549742,2017-08-28,2054,WRIGLEY 5 ASCENT 15PC,263,Gum,119,Gum,128,457,95 Spencer,11 E 18Th St,Spencer,51301,43.1564,-95.1451,ACTIVE,1.89,0.992,0.898,1.0
812,608501,20170604|50|4|1|2935631,2017-08-28,10460,WTR STRWBRY NFSPLSH 20OZ,255,Bottled Water,150,Juice/tonics,174,260,50 Andalusia,540 West Bypass,Andalusia,36420,41.2039,-94.4171,ACTIVE,1.19,0.93933,0.25067,1.0
2477,1537836,20170605|667|3|2|4120483,2017-08-29,6262,MELLO YELLO 20OZ,250,Pk Bev-csd/pop (71),243,Pop (587),448,336,667 Hooper,11701 State Highway 17,Hooper,81136,37.7451,-105.881,ACTIVE,1.5,0.44474,1.05526,1.0
805,346177,20170606|867|1|2|2564131,2017-08-30,2254,LD PWDRD MINI DNUT 10OZ,60,Cakes & pastrie,262,Bread & Cakes,217,401,867 Caney,200 W Main St,Caney,74533,34.2321,-96.2133,ACTIVE,1.99,0.64,1.35,1.0
1387,2361012,20170607|667|1|100|4127875,2017-08-31,18998,G91E10P,1,Fuel Premuim,78,Fuel,68,336,667 Hooper,11701 State Highway 17,Hooper,81136,37.7451,-105.881,ACTIVE,25.0,2.6232,22.3768,8.744
14,1734017,20170607|927|1|1|2398802,2017-08-31,5367,KOOLEE,158,Carbonated Drinks,234,Frozen Dispensed Beverage,10,442,927 Littleton,1500 W Littleton Blvd Ste 110-E,Littleton,80120,39.6124,-105.006,ACTIVE,1.0,1.0,0.0,1.0
495,991484,20170608|382|5|2|2721784,2017-09-01,15338,FULL THROTTLE CIT 16OZ,261,Pk Bev-energy (carbonated) Fs (79),242,Energy carbonated,268,152,382 Gentry,899 W Main St,Gentry,72734,36.2672,-94.4929,ACTIVE,2.0,0.797,1.203,1.0
1667,233052,20170608|928|2|1|1657014,2017-09-01,6672,GATOR COOL BLU 28OZ,252,Sports Drinks,150,Juice/tonics,132,443,928 Aurora,738 Peoria St Ste D,Aurora,80011,39.7276,-104.847,ACTIVE,4.0,1.823,2.177,2.0
223,1103313,20170609|401|2|2|4142634,2017-09-02,7497,RED BULL SF 8.4OZ,261,Pk Bev-energy (carbonated) Fs (79),242,Energy carbonated,268,172,401 Rogers,401 N 8Th St,Rogers,72756,36.3364,-94.1246,ACTIVE,2.49,1.08483,1.40517,1.0
136,915767,20170609|362|3|1|4369532,2017-09-02,15212,AR 100X 384,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,132,362 Norfork,13862 Highway 5 S,Norfork,72658,36.2088,-92.2863,ACTIVE,10.0,0.5,9.5,1.0
522,490613,20170609|615|2|1|2419504,2017-09-02,10866,BISCUIT SSG EGG CHZ FCS,272,Breakfast Food,271,Breakfast Sandwiches,97,318,615 Stickney,309 Main St,Stickney,57375,43.5894,-98.4377,ACTIVE,2.33,1.483,0.847,1.0
2706,939157,20170610|368|2|2|3331327,2017-09-03,2980,MARLB BLND NO 27 BX,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,137,368 Harrisburg,306 State St,Harrisburg,69345,41.5565,-103.741,ACTIVE,6.65,1.33059,5.31941,1.0
2741,2638092,20170611|858|1|1|1815218,2017-09-04,5538,MEDIUM FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,393,858 Watonga,121 N Noble Ave,Watonga,73772,35.8453,-98.4133,ACTIVE,1.0,0.447953,0.552047,1.0
2478,63215,20170611|954|2|2|1789961,2017-09-04,13648,DT DR PEPPER 20OZ,250,Pk Bev-csd/pop (71),243,Pop (587),448,460,954 Lovell,167 E 3Rd St,Lovell,82431,44.8393,-108.39,ACTIVE,1.42,0.32731,1.09269,1.0
2138,54462,20170611|954|1|2|1790530,2017-09-04,2950,NESTLE STRWBRY SHRTCK BAR 4OZ,39,Ice Cream-novelties (124),140,Ice Cream,52,460,954 Lovell,167 E 3Rd St,Lovell,82431,44.8393,-108.39,ACTIVE,4.58,2.32,2.26,2.0
222,1294312,20170611|498|1|1|4270937,2017-09-04,1505,BUD LT 12PK GLS,196,Beer-premium (42),246,Beer,186,258,498 Calera,5100 Hwy 31,Calera,35040,40.0616,-94.7649,ACTIVE,10.99,3.53484,7.45516,1.0
477,2357723,20170612|498|1|100|4272922,2017-09-05,18998,G91E10P,1,Fuel Premuim,78,Fuel,68,258,498 Calera,5100 Hwy 31,Calera,35040,40.0616,-94.7649,ACTIVE,16.03,1.8366,14.1934,6.122
586,2173490,20170613|228|1|100|4269509,2017-09-06,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,91,228 Brandon,704 Main St,Brandon,52210,42.3147,-92.0057,ACTIVE,2.72,0.3738,2.3462,1.246
786,2635089,20170613|973|2|3|3654550,2017-09-06,2180,TORNADO FCS,280,Roller Grill Food,279,Roller Grill,9,476,973 Lafayette,603 S Public Rd,Lafayette,80026,39.9932,-105.091,ACTIVE,1.69,1.116,0.574,1.0
1862,1873232,20170614|1903|3|1|289013,2017-09-07,2986,MARLB BX,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,59,1903 Selma,1501 Hwy 14 East,Selma,36703,39.8282,-105.036,ACTIVE,6.35,1.03324,5.31676,1.0
1884,2352928,20170614|479|1|100|3344668,2017-09-07,18998,G91E10P,1,Fuel Premuim,78,Fuel,68,236,479 Lincoln,214 E Main St,Lincoln,65338,38.3907,-93.3343,CLOSED,46.28,5.3016,40.9784,17.672
2659,1253491,20170614|480|2|2|3035213,2017-09-07,2168,SLC PZ BRKFST 13IN FCS,287,Slices,277,Pizza,39,237,480 Ionia,206 N Main St,Ionia,65335,38.5027,-93.3235,ACTIVE,3.0,1.326,1.674,3.0
1672,468652,20170615|381|1|2|3538306,2017-09-08,4299,KAYAK FC NAT UPRITE,334,Tobacco-round Can Snuff (960),321,Smokeless (951),363,151,381 Midway,323 Highway 178 W,Midway,72651,36.3862,-92.4672,ACTIVE,2.14,0.849,1.291,1.0
2543,793499,20170615|226|2|2|4091088,2017-09-08,3137,MARLB SPCL BLND BLK 100 BX S50,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,89,226 Quasqueton,113 E Dubuque St,Quasqueton,52326,42.3946,-91.7603,ACTIVE,5.08,-0.08825,5.16825,1.0
1957,2849423,20170615|396|4|2|1545744,2017-09-08,5628,LARGE FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,165,396 Pomeroy,116 S Main St,Pomeroy,50575,42.5506,-94.6855,CLOSED,1.0,1.0,0.0,1.0
422,754859,20170616|171|2|2|3010182,2017-09-09,5254,SNICKER HZLNT KS,266,Vegan Candy,331,Candy,304,53,171 Scottsboro,24833 Johnt Reidprkw,Scottsboro,35768,36.2661,-92.5383,ACTIVE,1.99,1.62818,0.36182,1.0
662,2380937,20170617|401|5|2|4164736,2017-09-10,18234,LOTTERY WIN,135,Lottery-win (270),307,Store Services (92),1,172,401 Rogers,401 N 8Th St,Rogers,72756,36.3364,-94.1246,ACTIVE,-20.0,0.0,0.0,20.0
2413,1769782,20170617|952|3|2|3545184,2017-09-10,4718,LOL MILK WHOLE 1GAL,297,Whole Milk,180,Milk,9,458,952 Tie Siding,1741 S Us Highway 287,Tie Siding,82084,41.0813,-105.509,ACTIVE,3.99,0.17174,3.81826,1.0
716,2037532,20170617|667|1|100|4156904,2017-09-10,18973,G85E10S,1,Fuel Premuim,78,Fuel,68,336,667 Hooper,11701 State Highway 17,Hooper,81136,37.7451,-105.881,ACTIVE,15.14,2.0283,13.1117,6.761
426,2625417,20170617|302|1|1|4378684,2017-09-10,2180,TORNADO FCS,280,Roller Grill Food,279,Roller Grill,9,116,302 Parkersburg,602 Coates St,Parkersburg,50665,42.577,-92.7869,ACTIVE,5.38,3.124,2.256,4.0
1900,1348388,20170618|521|2|1|1287383,2017-09-11,6274,FANTA PNAPL 20OZ,250,Pk Bev-csd/pop (71),243,Pop (587),448,275,521 Attalla,973 Gilbert Ferry Road Se,Attalla,35954,40.9892,-94.7355,ACTIVE,1.89,0.8184,1.0716,1.0
1067,940981,20170619|368|3|1|3350400,2017-09-12,17497,FIREBALL WHSKY 50ML,173,Whiskey,249,Liquor,201,137,368 Harrisburg,306 State St,Harrisburg,69345,41.5565,-103.741,ACTIVE,2.38,0.9799,1.4001,2.0
2314,915530,20170619|362|1|1|4392303,2017-09-12,12748,PERRIER SPRKLNG LIM 16.9OZ,255,Bottled Water,150,Juice/tonics,174,132,362 Norfork,13862 Highway 5 S,Norfork,72658,36.2088,-92.2863,ACTIVE,2.78,1.42888,1.35112,2.0
1934,1142842,20170619|412|2|1|2616675,2017-09-12,14494,MODELO ESP 24OZ CAN,211,Imported Beer,246,Beer,133,184,412 Gateway,17260 Highway 37 N,Gateway,72733,36.4909,-93.9312,ACTIVE,5.0,1.22,3.78,2.0
1612,1716521,20170620|921|1|2|2538343,2017-09-13,12970,BARCEL CHP HABANERO 1.9OZ,52,Potato Chips,2,Chips,251,440,921 Greenwood Vlg,8525 E Arapahoe Rd,Greenwood Vlg,80112,39.5964,-104.891,ACTIVE,1.99,1.14,0.85,1.0
637,1315270,20170620|518|3|1|3769699,2017-09-13,5523,LOL MILK TM 2% CHOC 12OZ,332,Flavored Milk,180,Milk,37,272,518 Massena,99 Main St,Massena,50853,41.2517,-94.7692,ACTIVE,1.79,0.84667,0.94333,1.0
977,594818,20170620|32|1|100|2384252,2017-09-13,18987,G88E15-B92,1,Fuel Premuim,78,Fuel,68,121,32 Shell Rock,203 S Walnut St,Shell Rock,50670,42.7116,-92.5839,ACTIVE,27.3,4.1379,23.1621,13.793
245,618257,20170620|51|2|2|3145759,2017-09-13,1010,IA BRONZE 9S 338,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,267,51 Griswold,608 4Th St,Griswold,51535,41.2335,-95.1403,ACTIVE,1.0,0.07,0.93,1.0
310,1578841,20170621|846|4|1|4243638,2017-09-14,4298,KAYAK LC MNT UPRITE,334,Tobacco-round Can Snuff (960),321,Smokeless (951),363,386,846 Ozark,1537 Hwy 231 South,Ozark,36360,35.681,-94.7605,ACTIVE,2.09,0.861,1.229,1.0
2075,1792661,20170621|975|3|2|2546064,2017-09-14,2823,DAVIDS JUMBO SWT & SLTY SD 5.25OZ,55,Nuts & seeds,185,Nuts,318,477,975 Boulder,1905 28Th St,Boulder,80301,40.0201,-105.26,ACTIVE,2.39,1.42923,0.96077,1.0
2330,559307,20170621|24|2|2|3940373,2017-09-14,3873,CHEETO FLMN HT 8.5OZ,53,Salty Snacks -tort/corn Chips (152),5,Salty Snacks,243,97,24 Hazleton,200 Main St S,Hazleton,50641,42.6151,-91.906,ACTIVE,3.69,0.9805,2.7095,1.0
2045,1045535,20170621|391|1|1|5432522,2017-09-14,3309,L&M 100 BX,207,Cig-off Inv-discount (442),11,Off Invoice Cigs (104),27,161,391 Hamilton,1706 Military Street South,Hamilton,35570,34.4062,-91.4074,ACTIVE,9.88,-0.93082,10.81082,2.0
923,2046430,20170622|921|4|3|2542427,2017-09-15,18973,G85E10S,1,Fuel Premuim,78,Fuel,68,440,921 Greenwood Vlg,8525 E Arapahoe Rd,Greenwood Vlg,80112,39.5964,-104.891,ACTIVE,16.0,1.9362,14.0638,6.454
253,2772081,20170622|840|1|2|3276687,2017-09-15,10468,X-LARGE FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,382,840 Albany,109 N Wade St,Albany,74721,33.8818,-96.162,CLOSED,1.0,1.0,0.0,1.0
2795,2594385,20170622|1903|5|1|304961,2017-09-15,6507,LOTTO,137,Lotto (271),136,Lotto (271),2,59,1903 Selma,1501 Hwy 14 East,Selma,36703,39.8282,-105.036,ACTIVE,6.0,6.0,0.0,1.0
2668,322097,20170623|248|2|1|2060797,2017-09-16,2293,LD PDDR MINI DNUT 2.8OZ,61,Muffins & Donuts,262,Bread & Cakes,53,100,248 Newell,119 S Fulton St,Newell,50568,42.6056,-95.0022,CLOSED,1.29,0.6536,0.6364,1.0
2150,2650821,20170623|554|2|2|3878001,2017-09-16,5538,MEDIUM FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,289,554 Saint Joseph,2514 Frederick Ave,Saint Joseph,64506,39.7767,-94.8298,CLOSED,1.0,0.299925,0.700075,1.0
998,282496,20170623|491|1|1|1261620,2017-09-16,6252,SPRITE 20OZ,250,Pk Bev-csd/pop (71),243,Pop (587),448,248,491 Easton,201 N Bucklin Dr,Easton,64443,39.7235,-94.6415,CLOSED,1.5,0.42257,1.07743,1.0
705,2341976,20170624|498|1|2|4306463,2017-09-17,2348,20OZ COFFEE REFILL,147,Hot Bev-refills (305),232,Hot Dispensed Beverage,11,258,498 Calera,5100 Hwy 31,Calera,35040,40.0616,-94.7649,ACTIVE,1.0,0.541605,0.458395,1.0
356,109216,20170624|860|2|1|3221481,2017-09-17,6275,COKE 12PK,250,Pk Bev-csd/pop (71),243,Pop (587),448,394,860 Cherokee,1780 S Grand Ave,Cherokee,73728,36.7396,-98.3596,ACTIVE,4.0,-0.55496,4.55496,1.0
952,362159,20170624|360|1|2|2283482,2017-09-17,10424,KTL BBQ 6OZ,52,Potato Chips,2,Chips,251,130,360 Roseland,9230 S Lincoln Ave,Roseland,68973,40.4705,-98.5592,ACTIVE,1.5,0.32125,1.17875,1.0
2076,192785,20170625|396|1|1|1555675,2017-09-18,5550,GRIZZLY WNTRGRN POCH,334,Tobacco-round Can Snuff (960),321,Smokeless (951),363,165,396 Pomeroy,116 S Main St,Pomeroy,50575,42.5506,-94.6855,CLOSED,5.14,1.6875,3.4525,1.0
2032,919472,20170625|367|1|1|2561235,2017-09-18,4515,TWIZZLE WTRMLN PNP 14OZ,286,Sugar Gree Candy,331,Candy,15,136,367 Arthur,309 Fir St,Arthur,69121,41.5711,-101.691,ACTIVE,3.49,1.655,1.835,1.0
2845,2774731,20170627|135|1|1|1412872,2017-09-19,10468,X-LARGE FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,20,135 Fort Payne,2001 Glenn Bldv Sw,Fort Payne,35968,41.5445,-94.9231,ACTIVE,1.0,-0.037704,1.037704,1.0
2783,2309343,20170626|881|2|2|5545451,2017-09-19,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,413,881 Erick,119 W 3Rd St,Erick,73645,35.2141,-99.8677,ACTIVE,14.0,2.3346,11.6654,7.782
2240,1126875,20170628|409|3|2|3928891,2017-09-21,2162,SLC PZ SSG 13IN FCS,287,Slices,277,Pizza,39,181,409 Cave Springs,115 E Midway St,Cave Springs,72718,36.2636,-94.2313,ACTIVE,3.0,2.304,0.696,3.0
1068,938372,20170628|368|2|2|3370116,2017-09-21,10869,THREE CHICKEN TENDERS FCS,276,Hot Food,275,Hot Sandwiches & Chicken,207,137,368 Harrisburg,306 State St,Harrisburg,69345,41.5565,-103.741,ACTIVE,3.99,2.692,1.298,1.0
2,2339438,20170628|302|2|2|4410239,2017-09-21,2348,20OZ COFFEE REFILL,147,Hot Bev-refills (305),232,Hot Dispensed Beverage,11,116,302 Parkersburg,602 Coates St,Parkersburg,50665,42.577,-92.7869,ACTIVE,1.0,0.533704,0.466296,1.0
169,2869288,20170629|393|1|1|4984975,2017-09-22,5628,LARGE FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,162,393 Henderson,13091 Highway 62 E,Henderson,72544,36.3832,-92.191,ACTIVE,1.0,1.0,0.0,1.0
2515,501501,20170629|372|2|1|1958966,2017-09-22,7403,NE QUICK 7S 950,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,142,372 Brunswick,222 2Nd St,Brunswick,68720,42.3377,-97.971,CLOSED,2.0,0.11686,1.88314,2.0
1326,2062091,20170629|2926|1|100|2429898,2017-09-22,18973,G85E10S,1,Fuel Premuim,78,Fuel,68,114,2926 Commerce City,8096 Brighton Rd,Commerce City,80022,39.8437,-104.921,ACTIVE,34.74,4.0407,30.6993,13.469
1724,1036311,20170630|387|2|1|3937082,2017-09-23,10318,MONSTER UL ZRO 24OZ,261,Pk Bev-energy (carbonated) Fs (79),242,Energy carbonated,268,157,387 Big Flat,100 Community Dr,Big Flat,72617,36.0018,-92.4051,ACTIVE,3.59,1.59045,1.99955,1.0
1751,393932,20170630|447|1|2|3110203,2017-09-23,10325,MONSTER UL BLK 16OZ,261,Pk Bev-energy (carbonated) Fs (79),242,Energy carbonated,268,208,447 Lamar,131 W 11Th St,Lamar,64759,37.4941,-94.2775,ACTIVE,3.33,0.868,2.462,2.0
1131,107792,20170630|570|1|2|1746975,2017-09-23,12260,HEINEKEN 6PK GLS,211,Imported Beer,246,Beer,133,304,570 Hueytown,1007 Red Farmer Drive,Hueytown,35023,41.9966,-91.8623,ACTIVE,8.99,2.37752,6.61248,1.0
72,1162917,20170630|433|2|1|4201493,2017-09-23,5368,KOOLEE,158,Carbonated Drinks,234,Frozen Dispensed Beverage,10,197,433 Bay Minette,701 Mcmeans Ave,Bay Minette,36507,40.1474,-92.3793,ACTIVE,2.0,2.0,0.0,2.0
1596,2780400,20170630|369|3|1|2693415,2017-09-23,10468,X-LARGE FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,138,369 Purdum,84451 Purdum Ave,Purdum,69157,42.0644,-100.259,ACTIVE,1.0,-0.020275,1.020275,1.0
2569,1013504,20170701|383|1|1|5037330,2017-09-24,2887,PALLM MEN 85 BX,162,Cig-discount (332),8,Cigarettes,158,153,383 Rogers,4600 W Walnut St,Rogers,72756,36.3337,-94.1811,ACTIVE,10.16,0.43,9.73,2.0
96,1441941,20170701|562|1|2|3765076,2017-09-24,3779,CHEETO CRNCHY 3.5OZ,53,Salty Snacks -tort/corn Chips (152),5,Salty Snacks,243,297,562 Columbia,101 S Providence Rd,Columbia,65203,38.9509,-92.3362,ACTIVE,1.5,0.32042,1.17958,1.0
2479,602441,20170701|32|1|1|2404282,2017-09-24,16006,GOLD PEAK GRN TEA 18.5OZ,251,Iced Tea,150,Juice/tonics,166,121,32 Shell Rock,203 S Walnut St,Shell Rock,50670,42.7116,-92.5839,ACTIVE,3.0,1.0,2.0,2.0
1707,1483047,20170702|578|3|1|3642137,2017-09-25,9044,MO $100000 JACKPOT 146,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,310,578 Millbrook,145 Kelley Blvd,Millbrook,36054,39.2417,-91.6434,ACTIVE,10.0,0.5,9.5,2.0
970,2786794,20170702|521|3|2|1310115,2017-09-25,10468,X-LARGE FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,275,521 Attalla,973 Gilbert Ferry Road Se,Attalla,35954,40.9892,-94.7355,ACTIVE,1.0,-0.11245,1.11245,1.0
1455,2160343,20170702|158|4|1|6159821,2017-09-25,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,49,158 Russellville,13675 Hwy 43,Russellville,35653,33.2376,-91.5121,ACTIVE,20.0,3.1104,16.8896,10.368
1425,1577074,20170702|846|2|2|4271267,2017-09-25,5459,DREYERS EDYS DIBS CRNCH 4OZ,39,Ice Cream-novelties (124),140,Ice Cream,52,386,846 Ozark,1537 Hwy 231 South,Ozark,36360,35.681,-94.7605,ACTIVE,2.99,1.24,1.75,1.0
1374,236026,20170703|361|2|2|2272090,2017-09-26,6655,GATOR FRST CHRY 28OZ,252,Sports Drinks,150,Juice/tonics,132,131,361 Oakdale,500 Hohman St,Oakdale,68761,42.0694,-97.9698,ACTIVE,4.0,1.81034,2.18966,2.0
391,1680717,20170703|891|2|1|2200103,2017-09-26,17,HEATH 1.4OZ REG,266,Vegan Candy,331,Candy,304,421,891 Canton,202 W Main St,Canton,73724,36.0537,-98.5899,ACTIVE,1.25,0.61773,0.63227,1.0
638,492883,20170703|221|2|1|2313651,2017-09-26,18975,G87E00M,1,Fuel Premuim,78,Fuel,68,83,221 Waterloo,2181 Logan Ave,Waterloo,50703,42.5306,-92.3385,CLOSED,2.55,0.3228,2.2272,1.076
1453,700185,20170704|146|2|1|5087818,2017-09-27,12662,BIMBO STWBRY FRT BAR 4CT,60,Cakes & pastrie,262,Bread & Cakes,217,33,146 Bella Vista,1750 Forest Hills Blvd,Bella Vista,72715,36.4649,-94.302,ACTIVE,1.49,0.45,1.04,1.0
1312,2156458,20170704|152|1|100|4809136,2017-09-27,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,42,152 Wilmot,202 Mccombs St,Wilmot,71676,33.0593,-91.5728,ACTIVE,18.79,3.0003,15.7897,10.001
434,2233419,20170704|412|1|100|2644297,2017-09-27,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,184,412 Gateway,17260 Highway 37 N,Gateway,72733,36.4909,-93.9312,ACTIVE,9.33,1.4436,7.8864,4.812
2673,1153724,20170706|423|3|1|2227957,2017-09-29,10868,CORN DOGS FCS,276,Hot Food,275,Hot Sandwiches & Chicken,207,192,423 Adamsville,2473 Hackworth Road,Adamsville,35005,34.5253,-91.3257,ACTIVE,1.19,0.71,0.48,1.0
2685,2189176,20170706|362|1|100|4431487,2017-09-29,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,132,362 Norfork,13862 Highway 5 S,Norfork,72658,36.2088,-92.2863,ACTIVE,38.98,6.0,32.98,20.0
1419,1744359,20170706|930|2|1|3274637,2017-09-29,4876,REDNESS RLVR EYE DRP LD 1.5OZ,107,Eye/Contact Care,127,Health & Beauty,8,445,930 Aurora,2500 S Abilene St,Aurora,80014,39.6704,-104.828,ACTIVE,3.99,2.145,1.845,1.0
774,2763269,20170706|930|4|2|3276016,2017-09-29,216,MT DEW 20OZ,250,Pk Bev-csd/pop (71),243,Pop (587),448,445,930 Aurora,2500 S Abilene St,Aurora,80014,39.6704,-104.828,ACTIVE,1.89,0.81012,1.07988,1.0
2144,611805,20170706|50|2|1|2989809,2017-09-29,269,LIPTON GRN TEA CIT 20OZ,251,Iced Tea,150,Juice/tonics,166,260,50 Andalusia,540 West Bypass,Andalusia,36420,41.2039,-94.4171,ACTIVE,2.98,1.4325,1.5475,2.0
1132,623133,20170706|51|2|2|3171550,2017-09-29,715,CAMEL TK BLND MEN JD BX,161,Cig-premium (331),8,Cigarettes,435,267,51 Griswold,608 4Th St,Griswold,51535,41.2335,-95.1403,ACTIVE,6.35,1.41421,4.93579,1.0
1861,2656635,20170707|487|2|2|2156419,2017-09-30,5538,MEDIUM FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,244,487 Glenallen,1 Short St,Glenallen,63751,37.3172,-90.0274,ACTIVE,1.0,1.0,0.0,1.0
1070,532951,20170708|461|1|2|2207528,2017-10-01,3947,CHEETO PAWS 2.65OZ,53,Salty Snacks -tort/corn Chips (152),5,Salty Snacks,243,218,461 Rich Hill,114 N 6Th St,Rich Hill,64779,38.0971,-94.3631,CLOSED,1.69,0.51,1.18,1.0
386,768230,20170709|200|2|3|4060284,2017-10-02,16333,NEW AMSTERDAM PCH VDKA 750ML,172,Vodka,249,Liquor,179,64,200 Cedar Falls,221 W 6Th St,Cedar Falls,50613,42.5336,-92.4478,ACTIVE,14.99,3.80227,11.18773,1.0
36,1212155,20170709|470|1|1|3726077,2017-10-02,10375,MONSTER 16OZ,261,Pk Bev-energy (carbonated) Fs (79),242,Energy carbonated,268,227,470 Columbia,2300 Bernadette Dr Ste 200,Columbia,65203,38.9632,-92.3734,CLOSED,2.69,1.45065,1.23935,1.0
1718,1209430,20170709|470|1|1|3724143,2017-10-02,2575,SWISHER BLK CHRY 2P99 CIGRL POCH,335,Tobacco-cigarillo (962),320,Cigars,342,227,470 Columbia,2300 Bernadette Dr Ste 200,Columbia,65203,38.9632,-92.3734,CLOSED,0.99,0.3984,0.5916,1.0
830,20707,20170709|360|4|1|2305385,2017-10-02,7376,NE BONUS CRSSWRD 920,138,Gaming-lottery (scratch Tickt) (272),175,Lottery (360),1575,130,360 Roseland,9230 S Lincoln Ave,Roseland,68973,40.4705,-98.5592,ACTIVE,15.0,0.9,14.1,5.0
182,36490,20170710|208|4|1|2116025,2017-10-03,4365,HERSHEY ALMND 1.45OZ REG,266,Vegan Candy,331,Candy,304,72,208 Dewar,5916 1St St,Dewar,50623,42.5253,-92.22,ACTIVE,2.5,1.21556,1.28444,2.0
394,443256,20170711|953|1|2|1714357,2017-10-04,6777,SKU ICE BAG LRG,143,Ice (282),141,Ice (277),7,459,953 Laramie,152 N 5Th St,Laramie,82072,41.3132,-105.591,ACTIVE,5.49,3.019695,2.470305,1.0
972,1251940,20170711|480|1|2|3096908,2017-10-04,5367,KOOLEE,158,Carbonated Drinks,234,Frozen Dispensed Beverage,10,237,480 Ionia,206 N Main St,Ionia,65335,38.5027,-93.3235,ACTIVE,1.0,0.101674,0.898326,1.0
710,702597,20170711|146|2|2|5111185,2017-10-04,5367,KOOLEE,158,Carbonated Drinks,234,Frozen Dispensed Beverage,10,33,146 Bella Vista,1750 Forest Hills Blvd,Bella Vista,72715,36.4649,-94.302,ACTIVE,1.0,-0.037802,1.037802,1.0
